id,name,description,price,category,test_min,test_max,text_for_embedding
25,Спиннинг Abu Garcia Vendetta VRC702M 7-28г,Надёжный средне-быстрый спиннинг с качественной фурнитурой.,7590,Спиннинги,7.0,28.0,Спиннинг Abu Garcia Vendetta VRC702M 7-28г. Спиннинги. Надёжный средне-быстрый спиннинг с качественной фурнитурой. test_min_7.0 test_max_28.0
26,Спиннинг Black Hole NS Matrix 240 5-21г,Лёгкий и сбалансированный спиннинг для джига и воблеров.,5690,Спиннинги,5.0,21.0,Спиннинг Black Hole NS Matrix 240 5-21г. Спиннинги. Лёгкий и сбалансированный спиннинг для джига и воблеров. test_min_5.0 test_max_21.0
27,Спиннинг Zemex Spider Pro 240 10-32г,Универсальный спиннинг с большим тестом для трофейной рыбы.,4890,Спиннинги,10.0,32.0,Спиннинг Zemex Spider Pro 240 10-32г. Спиннинги. Универсальный спиннинг с большим тестом для трофейной рыбы. test_min_10.0 test_max_32.0
28,Спиннинг Favorite Blue Bird 270 8-28г,Хороший бюджетный спиннинг для начинающих и опытных рыбаков.,3490,Спиннинги,8.0,28.0,Спиннинг Favorite Blue Bird 270 8-28г. Спиннинги. Хороший бюджетный спиннинг для начинающих и опытных рыбаков. test_min_8.0 test_max_28.0
29,Спиннинг Major Craft N-One 180 0.5-5г,Ультралайтовый спиннинг для ловли на микроприманки.,6790,Спиннинги,0.5,5.0,Спиннинг Major Craft N-One 180 0.5-5г. Спиннинги. Ультралайтовый спиннинг для ловли на микроприманки. test_min_0.5 test_max_5.0
30,Спиннинг Stinger Ultralight 2.13м 1-7г,Ультралайт для окуня и форели с мягкой вершинкой.,2990,Спиннинги,1.0,7.0,Спиннинг Stinger Ultralight 2.13м 1-7г. Спиннинги. Ультралайт для окуня и форели с мягкой вершинкой. test_min_1.0 test_max_7.0
31,Спиннинг Maximus Black Widow 23L 4-16г,Яркий и звонкий спиннинг для активного твичинга.,4190,Спиннинги,4.0,16.0,Спиннинг Maximus Black Widow 23L 4-16г. Спиннинги. Яркий и звонкий спиннинг для активного твичинга. test_min_4.0 test_max_16.0
32,Спиннинг Kosadaka Menace 240 15-40г,Мощный спиннинг для больших приманок и крупной щуки.,3390,Спиннинги,15.0,40.0,Спиннинг Kosadaka Menace 240 15-40г. Спиннинги. Мощный спиннинг для больших приманок и крупной щуки. test_min_15.0 test_max_40.0
33,Спиннинг Lucky John Basara 27 10-35г,Спиннинг быстрого строя для джиговой ловли судака.,4690,Спиннинги,10.0,35.0,Спиннинг Lucky John Basara 27 10-35г. Спиннинги. Спиннинг быстрого строя для джиговой ловли судака. test_min_10.0 test_max_35.0
34,Катушка Daiwa Legalis LT 2500D,Лёгкая и надёжная катушка с технологией Air Rotor.,7590,Катушки,,,Катушка Daiwa Legalis LT 2500D. Катушки. Лёгкая и надёжная катушка с технологией Air Rotor. test_min_nan test_max_nan
35,Катушка Shimano Nasci FB 2500,Выносливая катушка с холоднокованым ротором.,8790,Катушки,,,Катушка Shimano Nasci FB 2500. Катушки. Выносливая катушка с холоднокованым ротором. test_min_nan test_max_nan
36,Катушка Abu Garcia Revo X 3000,Мощная и плавная катушка для серьёзных нагрузок.,9990,Катушки,,,Катушка Abu Garcia Revo X 3000. Катушки. Мощная и плавная катушка для серьёзных нагрузок. test_min_nan test_max_nan
37,Катушка Ryobi Virago 1000,Компактная катушка для ультралайта с тонкой настройкой фрикциона.,3790,Катушки,,,Катушка Ryobi Virago 1000. Катушки. Компактная катушка для ультралайта с тонкой настройкой фрикциона. test_min_nan test_max_nan
38,Катушка Okuma Helios SX 30,Катушка с дисковым тормозом и облегчённым корпусом.,5490,Катушки,,,Катушка Okuma Helios SX 30. Катушки. Катушка с дисковым тормозом и облегчённым корпусом. test_min_nan test_max_nan
39,Катушка Favorite X1 2000,Бюджетная модель с хорошей тягой для лёгкого спиннинга.,2890,Катушки,,,Катушка Favorite X1 2000. Катушки. Бюджетная модель с хорошей тягой для лёгкого спиннинга. test_min_nan test_max_nan
40,Катушка Tsurinoya Spirit Fox 2500,Популярная китайская катушка с отличным соотношением цена/качество.,4590,Катушки,,,Катушка Tsurinoya Spirit Fox 2500. Катушки. Популярная китайская катушка с отличным соотношением цена/качество. test_min_nan test_max_nan
41,Катушка Spro Zalt M 2500,Универсальная катушка с металлическим корпусом.,6890,Катушки,,,Катушка Spro Zalt M 2500. Катушки. Универсальная катушка с металлическим корпусом. test_min_nan test_max_nan
42,Катушка Stinger Power 3000,Бюджетная катушка с хорошей укладкой лески.,2590,Катушки,,,Катушка Stinger Power 3000. Катушки. Бюджетная катушка с хорошей укладкой лески. test_min_nan test_max_nan
43,Фидер Daiwa Whisker 330 100г,Лёгкий и точный фидер для стоячей воды.,8490,Фидеры,0.0,100.0,Фидер Daiwa Whisker 330 100г. Фидеры. Лёгкий и точный фидер для стоячей воды. test_min_0.0 test_max_100.0
44,Фидер Shimano Beastmaster Feeder 360 120г,Премиальный фидер с высокой чувствительностью.,13490,Фидеры,0.0,120.0,Фидер Shimano Beastmaster Feeder 360 120г. Фидеры. Премиальный фидер с высокой чувствительностью. test_min_0.0 test_max_120.0
45,Фидер Mikado Sensei Feeder 390 150г,Надёжный фидер для реки и озера с быстрым строем.,6190,Фидеры,0.0,150.0,Фидер Mikado Sensei Feeder 390 150г. Фидеры. Надёжный фидер для реки и озера с быстрым строем. test_min_0.0 test_max_150.0
46,Фидер Browning Black Viper 360 140г,Универсальный фидер с запасом мощности.,7790,Фидеры,0.0,140.0,Фидер Browning Black Viper 360 140г. Фидеры. Универсальный фидер с запасом мощности. test_min_0.0 test_max_140.0
47,Фидер Salmo Sniper Feeder 390 180г,Мощный фидер для дальнего заброса тяжёлых кормушек.,6290,Фидеры,0.0,180.0,Фидер Salmo Sniper Feeder 390 180г. Фидеры. Мощный фидер для дальнего заброса тяжёлых кормушек. test_min_0.0 test_max_180.0
48,Воблер Kosadaka Ion 65S,Уловистый составной воблер для твичинга судака.,750,Воблеры,,,Воблер Kosadaka Ion 65S. Воблеры. Уловистый составной воблер для твичинга судака. test_min_nan test_max_nan
49,Воблер ZipBaits Orbit 80 SSR,Дальнобойный воблер с реалистичной игрой.,1450,Воблеры,,,Воблер ZipBaits Orbit 80 SSR. Воблеры. Дальнобойный воблер с реалистичной игрой. test_min_nan test_max_nan
50,Воблер Strike Pro Midge Vibe 5.5см,Маленькая вибрирующая приманка для окуня.,520,Воблеры,,,Воблер Strike Pro Midge Vibe 5.5см. Воблеры. Маленькая вибрирующая приманка для окуня. test_min_nan test_max_nan
51,Воблер Jackall Chubby 38F,Крошечный плавающий воблер для форели и окуня.,1100,Воблеры,,,Воблер Jackall Chubby 38F. Воблеры. Крошечный плавающий воблер для форели и окуня. test_min_nan test_max_nan
52,Воблер Megabass Vision Oneten,Культовый японский воблер с уникальной игрой.,1850,Воблеры,,,Воблер Megabass Vision Oneten. Воблеры. Культовый японский воблер с уникальной игрой. test_min_nan test_max_nan
53,Воблер Googan Squad Rattlin' Ned 3.5см,Шумящий воблер для ловли в траве.,820,Воблеры,,,Воблер Googan Squad Rattlin' Ned 3.5см. Воблеры. Шумящий воблер для ловли в траве. test_min_nan test_max_nan
54,Воблер Daiwa Dr. Minnow 50SP,Суспендер с реалистичной формой малька.,1280,Воблеры,,,Воблер Daiwa Dr. Minnow 50SP. Воблеры. Суспендер с реалистичной формой малька. test_min_nan test_max_nan
55,"Виброхвост Relax Twister 4"" (10 шт)",Классический твистер для щуки и окуня.,550,Приманки,,,"Виброхвост Relax Twister 4"" (10 шт). Приманки. Классический твистер для щуки и окуня. test_min_nan test_max_nan"
56,"Твистер Mann's Samba 3"" (8 шт)",Универсальный твистер с яркой игрой.,680,Приманки,,,"Твистер Mann's Samba 3"" (8 шт). Приманки. Универсальный твистер с яркой игрой. test_min_nan test_max_nan"
57,"Силиконовый рак Kosadaka Diesel 3"" (6 шт)","Реалистичный рак для джига, любимое лакомство судака.",520,Приманки,,,"Силиконовый рак Kosadaka Diesel 3"" (6 шт). Приманки. Реалистичный рак для джига, любимое лакомство судака. test_min_nan test_max_nan"
58,"Силикон Berkley PowerBait Rib Shad 4"" (5 шт)",Поглощающий запах виброхвост с ребристой поверхностью.,890,Приманки,,,"Силикон Berkley PowerBait Rib Shad 4"" (5 шт). Приманки. Поглощающий запах виброхвост с ребристой поверхностью. test_min_nan test_max_nan"
59,"Виброхвост Keitech Easy Shiner 4"" (8 шт)",Мягкий и очень подвижный виброхвост для равномерной проводки.,1150,Приманки,,,"Виброхвост Keitech Easy Shiner 4"" (8 шт). Приманки. Мягкий и очень подвижный виброхвост для равномерной проводки. test_min_nan test_max_nan"
60,"Слаг FishUp Dart 3.5"" (8 шт)",Пассивная приманка для ловли пассивного хищника.,490,Приманки,,,"Слаг FishUp Dart 3.5"" (8 шт). Приманки. Пассивная приманка для ловли пассивного хищника. test_min_nan test_max_nan"
61,Поролоновая рыбка 5см (5 шт),Легендарная приманка для ловли судака на джиг.,390,Приманки,,,Поролоновая рыбка 5см (5 шт). Приманки. Легендарная приманка для ловли судака на джиг. test_min_nan test_max_nan
62,"Силиконовый червь Zoom Trick Worm 6"" (10 шт)",Уловистый червь с большой амплитудой игры.,720,Приманки,,,"Силиконовый червь Zoom Trick Worm 6"" (10 шт). Приманки. Уловистый червь с большой амплитудой игры. test_min_nan test_max_nan"
63,Блесна вращ. Mepps Aglia Long №2 серебро,Дальнобойная вращающаяся блесна с лепестком Aglia.,450,Блесны,,,Блесна вращ. Mepps Aglia Long №2 серебро. Блесны. Дальнобойная вращающаяся блесна с лепестком Aglia. test_min_nan test_max_nan
64,Блесна Daiwa Silver Creek Spinner R 2.5г,Лёгкая блесна с отличной аэродинамикой.,620,Блесны,,,Блесна Daiwa Silver Creek Spinner R 2.5г. Блесны. Лёгкая блесна с отличной аэродинамикой. test_min_nan test_max_nan
65,Колебалка Salmo Series 4 6.5см 12г,Колеблющаяся блесна для ловли щуки на глубине.,680,Блесны,,,Колебалка Salmo Series 4 6.5см 12г. Блесны. Колеблющаяся блесна для ловли щуки на глубине. test_min_nan test_max_nan
66,Колебалка Abu Garcia Toby 18г,Знаменитая колебалка с широкой игрой.,750,Блесны,,,Колебалка Abu Garcia Toby 18г. Блесны. Знаменитая колебалка с широкой игрой. test_min_nan test_max_nan
67,Блесна Blue Fox Matrixx Spinner №3,"Вращалка с сердечником, создающим сильную вибрацию.",580,Блесны,,,"Блесна Blue Fox Matrixx Spinner №3. Блесны. Вращалка с сердечником, создающим сильную вибрацию. test_min_nan test_max_nan"
68,Блесна вращ. Smith Niakis 9г,Японская вращалка для ловли на быстрой воде.,890,Блесны,,,Блесна вращ. Smith Niakis 9г. Блесны. Японская вращалка для ловли на быстрой воде. test_min_nan test_max_nan
69,Плетеный шнур Sunline Siglon PE 0.6# 135м,Качественная японская плетёнка с высокой разрывной нагрузкой.,1890,Лески и шнуры,,,Плетеный шнур Sunline Siglon PE 0.6# 135м. Лески и шнуры. Качественная японская плетёнка с высокой разрывной нагрузкой. test_min_nan test_max_nan
70,Шнур плетёный Power Phantom 0.08мм 150м,Четырёхжильный шнур с гладким покрытием.,890,Лески и шнуры,,,Шнур плетёный Power Phantom 0.08мм 150м. Лески и шнуры. Четырёхжильный шнур с гладким покрытием. test_min_nan test_max_nan
71,Леска монофильная Trabucco T-Force 0.25мм 150м,Износостойкий монофил для поводков и оснасток.,490,Лески и шнуры,,,Леска монофильная Trabucco T-Force 0.25мм 150м. Лески и шнуры. Износостойкий монофил для поводков и оснасток. test_min_nan test_max_nan
72,Флюорокарбон Sunline Sniper 100м 0.285мм,Невидимый в воде флюорокарбон для ответственных монтажей.,1350,Лески и шнуры,,,Флюорокарбон Sunline Sniper 100м 0.285мм. Лески и шнуры. Невидимый в воде флюорокарбон для ответственных монтажей. test_min_nan test_max_nan
73,Леска плетёная YGK BornRush PE 0.8 150м,Очень прочная плетёнка для тяжёлого джига.,2150,Лески и шнуры,,,Леска плетёная YGK BornRush PE 0.8 150м. Лески и шнуры. Очень прочная плетёнка для тяжёлого джига. test_min_nan test_max_nan
74,Леска монофильная Owner Broad 0.20мм 100м,Мягкая леска с хорошим узловязанием.,370,Лески и шнуры,,,Леска монофильная Owner Broad 0.20мм 100м. Лески и шнуры. Мягкая леска с хорошим узловязанием. test_min_nan test_max_nan
75,Крючки Owner Mosquito Light №8 (20 шт),Острые лёгкие крючки для поплавочной ловли.,390,Крючки,,,Крючки Owner Mosquito Light №8 (20 шт). Крючки. Острые лёгкие крючки для поплавочной ловли. test_min_nan test_max_nan
76,Крючки Gamakatsu F-1 508 №10 (15 шт),Тонкие и прочные крючки для мотыля и опарыша.,280,Крючки,,,Крючки Gamakatsu F-1 508 №10 (15 шт). Крючки. Тонкие и прочные крючки для мотыля и опарыша. test_min_nan test_max_nan
77,Крючки Mustad 32648 IN №4 (10 шт),Кованые крючки для червя с бородкой.,210,Крючки,,,Крючки Mustad 32648 IN №4 (10 шт). Крючки. Кованые крючки для червя с бородкой. test_min_nan test_max_nan
78,Офсетные крючки VMC 7117 №2/0 (10 шт),Офсетники с широким зевом для крупного силикона.,450,Крючки,,,Офсетные крючки VMC 7117 №2/0 (10 шт). Крючки. Офсетники с широким зевом для крупного силикона. test_min_nan test_max_nan
79,Двойник Owner №6 (10 шт),Прочные двойники для оснащения воблеров и блёсен.,320,Крючки,,,Двойник Owner №6 (10 шт). Крючки. Прочные двойники для оснащения воблеров и блёсен. test_min_nan test_max_nan
80,Поплавок Colmic Cronos 2г,Спортивный поплавок с высокой чувствительностью.,180,Поплавки,,,Поплавок Colmic Cronos 2г. Поплавки. Спортивный поплавок с высокой чувствительностью. test_min_nan test_max_nan
81,Поплавок Maver Styl 1.5г,Лёгкий поплавок из бальзы для стоячей воды.,220,Поплавки,,,Поплавок Maver Styl 1.5г. Поплавки. Лёгкий поплавок из бальзы для стоячей воды. test_min_nan test_max_nan
82,Поплавок Preston Durafloat 2.5г,Плавающий поплавок с отличной видимостью.,160,Поплавки,,,Поплавок Preston Durafloat 2.5г. Поплавки. Плавающий поплавок с отличной видимостью. test_min_nan test_max_nan
83,Поплавок скользящий 5г универсальный,Скользящий поплавок для дальнего заброса.,140,Поплавки,,,Поплавок скользящий 5г универсальный. Поплавки. Скользящий поплавок для дальнего заброса. test_min_nan test_max_nan
84,Кормушка металлическая 30г (клетка),Классическая флет-кормушка для фидера.,190,Кормушки,,,Кормушка металлическая 30г (клетка). Кормушки. Классическая флет-кормушка для фидера. test_min_nan test_max_nan
85,Кормушка пластиковая 40г методная,Методная кормушка для быстрого прикармливания.,230,Кормушки,,,Кормушка пластиковая 40г методная. Кормушки. Методная кормушка для быстрого прикармливания. test_min_nan test_max_nan
86,Кормушка Feeder basket 20г,Лёгкая корзинка для стартового закорма.,160,Кормушки,,,Кормушка Feeder basket 20г. Кормушки. Лёгкая корзинка для стартового закорма. test_min_nan test_max_nan
87,Кормушка Method feeder 30г,Кормушка с плоским дном для стоячей воды.,210,Кормушки,,,Кормушка Method feeder 30г. Кормушки. Кормушка с плоским дном для стоячей воды. test_min_nan test_max_nan
88,Прикормка Trapper Лещ-Плотва 1кг,Готовая прикормка с ароматом ванили для леща.,390,Прикормка,,,Прикормка Trapper Лещ-Плотва 1кг. Прикормка. Готовая прикормка с ароматом ванили для леща. test_min_nan test_max_nan
89,Прикормка Dunaev Premium Фидер 1.5кг,Универсальная фидерная прикормка с крупной фракцией.,470,Прикормка,,,Прикормка Dunaev Premium Фидер 1.5кг. Прикормка. Универсальная фидерная прикормка с крупной фракцией. test_min_nan test_max_nan
90,Прикормка Sensas 3000 Match 2кг,Французская прикормка для матчевой ловли.,650,Прикормка,,,Прикормка Sensas 3000 Match 2кг. Прикормка. Французская прикормка для матчевой ловли. test_min_nan test_max_nan
91,Сапоги болотные Nordman X,Лёгкие и прочные вейдерсы для ходовой рыбалки.,4390,Одежда,,,Сапоги болотные Nordman X. Одежда. Лёгкие и прочные вейдерсы для ходовой рыбалки. test_min_nan test_max_nan
92,Перчатки Rapala Insulated зимние,Тёплые перчатки с отстёгивающимися пальцами.,1790,Одежда,,,Перчатки Rapala Insulated зимние. Одежда. Тёплые перчатки с отстёгивающимися пальцами. test_min_nan test_max_nan
93,Куртка летняя Daiwa Protection,Дышащая куртка с защитой от солнца и насекомых.,5890,Одежда,,,Куртка летняя Daiwa Protection. Одежда. Дышащая куртка с защитой от солнца и насекомых. test_min_nan test_max_nan
94,Садок резиновый 3м,Вместительный складной садок для сохранения улова.,1650,Аксессуары,,,Садок резиновый 3м. Аксессуары. Вместительный складной садок для сохранения улова. test_min_nan test_max_nan
95,Эхолот Garmin Striker Vivid 4cv,Компактный эхолот с цветным экраном и датчиком.,21900,Аксессуары,,,Эхолот Garmin Striker Vivid 4cv. Аксессуары. Компактный эхолот с цветным экраном и датчиком. test_min_nan test_max_nan
96,Сумка-холодильник Salmo 20л,Термосумка для сохранения улова и продуктов в жару.,3450,Аксессуары,,,Сумка-холодильник Salmo 20л. Аксессуары. Термосумка для сохранения улова и продуктов в жару. test_min_nan test_max_nan
97,Чехол для удилищ двуручный 1.6м,Мягкий чехол с карманами на две рукоятки.,1290,Аксессуары,,,Чехол для удилищ двуручный 1.6м. Аксессуары. Мягкий чехол с карманами на две рукоятки. test_min_nan test_max_nan
98,Багорик телескопический с пробковой рукояткой,Надёжный багорик для извлечения крупной щуки.,1150,Аксессуары,,,Багорик телескопический с пробковой рукояткой. Аксессуары. Надёжный багорик для извлечения крупной щуки. test_min_nan test_max_nan
99,Ножницы для лески Victorinox,Острые ножницы из нержавейки с чехлом.,1890,Инструменты,,,Ножницы для лески Victorinox. Инструменты. Острые ножницы из нержавейки с чехлом. test_min_nan test_max_nan
100,Плоскогубцы рыболовные с фиксатором,Многофункциональный инструмент для монтажа оснасток.,890,Инструменты,,,Плоскогубцы рыболовные с фиксатором. Инструменты. Многофункциональный инструмент для монтажа оснасток. test_min_nan test_max_nan
101,Спиннинг Graphiteleader Corto GLCCS-682L 2-10г,Высококачественный японский спиннинг для легкого джига.,18900,Спиннинги,2.0,10.0,Спиннинг Graphiteleader Corto GLCCS-682L 2-10г. Спиннинги. Высококачественный японский спиннинг для легкого джига. test_min_2.0 test_max_10.0
102,Спиннинг Norstream Areal 240 2-15г,Универсальный спиннинг для береговой ловли с быстрым строем.,8490,Спиннинги,2.0,15.0,Спиннинг Norstream Areal 240 2-15г. Спиннинги. Универсальный спиннинг для береговой ловли с быстрым строем. test_min_2.0 test_max_15.0
103,Спиннинг Maximus Dreamer 27L 3-18г,Дальнобойный спиннинг для микроджига и легких воблеров.,5990,Спиннинги,3.0,18.0,Спиннинг Maximus Dreamer 27L 3-18г. Спиннинги. Дальнобойный спиннинг для микроджига и легких воблеров. test_min_3.0 test_max_18.0
104,Спиннинг Black Hole Bassmania S-240 7-28г,Бюджетный спиннинг для ловли на воблеры и блесны.,3290,Спиннинги,7.0,28.0,Спиннинг Black Hole Bassmania S-240 7-28г. Спиннинги. Бюджетный спиннинг для ловли на воблеры и блесны. test_min_7.0 test_max_28.0
105,Спиннинг Zemex Bass Force 240M 10-38г,Мощный спиннинг для трофейной щуки и судака.,5190,Спиннинги,10.0,38.0,Спиннинг Zemex Bass Force 240M 10-38г. Спиннинги. Мощный спиннинг для трофейной щуки и судака. test_min_10.0 test_max_38.0
106,Спиннинг Major Craft K.G.Lights 23L 1-5г,Ультралайт премиум-класса для ловли форели.,9990,Спиннинги,1.0,5.0,Спиннинг Major Craft K.G.Lights 23L 1-5г. Спиннинги. Ультралайт премиум-класса для ловли форели. test_min_1.0 test_max_5.0
107,Катушка Shimano Ultegra 2500S,"Легкая катушка с холоднокованым ротором, плавный ход.",10990,Катушки,,,"Катушка Shimano Ultegra 2500S. Катушки. Легкая катушка с холоднокованым ротором, плавный ход. test_min_nan test_max_nan"
108,Катушка Daiwa Freams LT 2500D,Мощная и легкая катушка с технологией MagSealed.,11990,Катушки,,,Катушка Daiwa Freams LT 2500D. Катушки. Мощная и легкая катушка с технологией MagSealed. test_min_nan test_max_nan
109,Катушка Abu Garcia Elite Max 30,Надежная катушка с двойным тормозом для больших нагрузок.,8990,Катушки,,,Катушка Abu Garcia Elite Max 30. Катушки. Надежная катушка с двойным тормозом для больших нагрузок. test_min_nan test_max_nan
110,Катушка Ryobi Zauber 2000,Компактная катушка для ультралайта с фрикционом точной настройки.,4590,Катушки,,,Катушка Ryobi Zauber 2000. Катушки. Компактная катушка для ультралайта с фрикционом точной настройки. test_min_nan test_max_nan
111,Катушка Okuma RTX-30S,Скоростная катушка с облегченным ротором.,6290,Катушки,,,Катушка Okuma RTX-30S. Катушки. Скоростная катушка с облегченным ротором. test_min_nan test_max_nan
112,Катушка Favorite White Bird 2000,Бюджетная катушка с хорошей тягой для легких приманок.,2190,Катушки,,,Катушка Favorite White Bird 2000. Катушки. Бюджетная катушка с хорошей тягой для легких приманок. test_min_nan test_max_nan
113,Мультипликатор Shimano Curado DC 151,Мультипликаторная катушка с цифровой системой контроля заброса.,22900,Катушки,,,Мультипликатор Shimano Curado DC 151. Катушки. Мультипликаторная катушка с цифровой системой контроля заброса. test_min_nan test_max_nan
114,Мультипликатор Daiwa Tatula 100H,Популярный мультипликатор с системой T-Wing.,15990,Катушки,,,Мультипликатор Daiwa Tatula 100H. Катушки. Популярный мультипликатор с системой T-Wing. test_min_nan test_max_nan
115,Мультипликатор Abu Garcia Ambassadeur SX 5600,Классический круглый мультипликатор для тяжелого джига.,12490,Катушки,,,Мультипликатор Abu Garcia Ambassadeur SX 5600. Катушки. Классический круглый мультипликатор для тяжелого джига. test_min_nan test_max_nan
116,Мультипликатор Favorite Extractor 7.3:1,Скоростной мультипликатор для твичинга.,8790,Катушки,,,Мультипликатор Favorite Extractor 7.3:1. Катушки. Скоростной мультипликатор для твичинга. test_min_nan test_max_nan
117,Фидер Preston Monster Feeder 390 150г,Профессиональный фидер для ловли крупной рыбы.,12490,Фидеры,0.0,150.0,Фидер Preston Monster Feeder 390 150г. Фидеры. Профессиональный фидер для ловли крупной рыбы. test_min_0.0 test_max_150.0
